N,Ah_th,x_0,y_0,x_100,y_100,C_n,C_p,Cap,Rs_ave
0,0,0.000342973152246184,0.893580564090087,0.822773060614255,0.0334979884415231,6.1199201843556,5.8520037900834,5.04197207312567,0.00890019888888889
41,369.44631017469,-0.000185437393170118,0.867247803089774,0.816712269193406,0.0334870976684947,5.7141028233076,5.59853380137567,4.69438534801193,0.00938597555555556
82,737.606883192331,-0.000413951136722712,0.853617421005607,0.805715170202869,0.0334725356326799,5.66029393806489,5.56356304866947,4.58308158076554,0.0100004222222222
123,1095.68528117246,-0.000615666538653636,0.840100102960282,0.800625732801355,0.0334675307446945,5.57020639124345,5.53297761243854,4.4699205866506,0.0110424433333333
164,1450.15809792097,-0.000751796063373611,0.830037648121592,0.802166036287629,0.0334689490077369,5.4749315550051,5.51857006345473,4.40244960466655,0.0127290733333333
205,1796.35767968994,-0.00100770898398306,0.808639630489052,0.803169009989538,0.0334699161283634,5.29054094521939,5.48851403776845,4.26466378723291,0.0132446111111111
246,2134.40601332114,-0.00110753838236732,0.799271557900896,0.806518432089345,0.0334734136144289,5.20944427867911,5.49398365950163,4.21412253322772,0.013538922222222
287,2464.27241533625,-0.00126750988500401,0.782888944752856,0.804334001455593,0.0334710846397419,5.08221606752845,5.46322841083934,4.10275581347726,0.0137439533333333
328,2785.06670610727,-0.00139722363416217,0.768271524721866,0.810894475967512,0.0334786741078352,4.94343384981713,5.46481947991306,4.02365736760322,0.0140122411111111
358,3020.68353054928,-0.00159191413291748,0.744045188572106,0.812089689358321,0.0334802624072542,4.73234576595714,5.41910042183201,3.87302935946735,0.0142874933333333
399,3322.97286785939,-0.00169417614584355,0.73031350905693,0.812095355101611,0.0334802701018542,4.63031296725575,5.40746337646358,3.77656634841709,0.0151973466666667
440,3612.96907816664,-0.00184819053498297,0.70865417989227,0.812575755812085,0.0334809283260869,4.45138947811327,5.36946358150779,3.63567634836113,0.0162752444444445
