N,t,Q,I,V,E,T
0,0,0,250.12645,2.8960555,0.1,20.606882
0,10.0000004749745,0.000695050494359335,250.20528,2.9205933,0.1,20.59104
0,20.000000949949,0.00139009468321058,250.24467,2.9366632,0.1,20.694017
0,30.0000014249235,0.00208514568089803,250.16585,2.9486365,0.1,20.804914
0,40.000001899898,0.00278022187824673,250.26437,2.9584832,0.2,20.987106
0,50.0000023748726,0.00347530151329888,250.22498,2.966912,0.2,20.931656
0,60.0000028498471,0.00417037993348863,250.22498,2.9743955,0.2,20.860365
0,70.0000033248216,0.00486543114093357,250.22498,2.9812095,0.2,20.89205
0,80.0000037997961,0.00556047447736104,250.24467,2.9875901,0.2,20.789072
0,90.0000042747706,0.00625552353865729,250.22498,2.9934587,0.2,21.145533
0,100.000004749745,0.00695054768489414,250.16585,2.9991698,0.3,21.090084
0,110.00000522472,0.00764556588767158,250.16585,3.0043688,0.3,21.145533
0,120.000005699694,0.00834059656971402,250.20528,3.0094891,0.3,21.161375
0,130.000006174669,0.00903561062271966,250.22498,3.0144124,0.3,21.121767
0,140.000006649643,0.00973060077894422,250.18555,3.0190995,0.4,21.042555
0,150.000007124618,0.0104255892604235,250.24467,3.0236683,0.4,21.113846
0,160.000007599592,0.0111205788359239,250.10675,3.0282371,0.4,21.264353
0,170.000008074567,0.0118155655761464,250.14615,3.032491,0.4,21.161375
0,180.000008549541,0.0125105168593089,250.22498,3.0367839,0.4,21.098005
0,190.000009024516,0.0132054644748773,250.18555,3.0409589,0.5,21.31188
0,200.00000949949,0.0139004092331102,250.22498,3.0450158,0.5,21.224745
0,210.000009974465,0.0145953356003994,250.24467,3.0489545,0.5,21.113846
0,220.000010449439,0.0152902618801202,250.22498,3.0529325,0.5,21.288116
0,230.000010924414,0.0159851836501058,250.16585,3.0566742,0.5,21.090084
0,240.000011399388,0.0166801067122989,250.16585,3.0604553,0.5,21.098005
0,250.000011874363,0.017375030660553,250.14615,3.0641184,0.5,21.121767
0,260.000012349337,0.0180699541391161,250.14615,3.0677025,0.6,21.169296
0,270.000012824312,0.0187648774636671,250.24467,3.071326,0.6,21.208902
0,280.000013299286,0.0194598023975033,250.30377,3.0747528,0.6,21.383173
0,290.000013774261,0.0201547208069695,250.18555,3.0781794,0.6,21.216824
0,300.000014249235,0.0208496435407511,250.18555,3.0815272,0.6,21.200983
0,310.00001472421,0.0215445637894355,250.10675,3.0849934,0.6,21.399014
0,320.000015199184,0.0222394871135118,250.12645,3.0881836,0.7,21.121767
0,330.000015674159,0.0229344068043009,250.22498,3.0912163,0.7,21.153454
0,340.000016149133,0.0236293254766083,250.24467,3.0944462,0.7,21.256432
0,350.000016624108,0.0243242443680318,250.20528,3.0975182,0.7,20.979185
0,360.000017099083,0.0250191681639014,250.18555,3.1005905,0.7,20.987106
0,370.000017574057,0.0257140943459659,250.16585,3.1035838,0.8,21.383173
0,380.000018049031,0.0264090176164415,250.16585,3.1065772,0.8,21.232666
0,390.000018524006,0.027103939934082,250.20528,3.1095705,0.8,21.066319
0,400.000018998981,0.027798864002872,250.18555,3.1125245,0.8,21.256432
0,410.000019473955,0.0284937828832838,250.16585,3.1152029,0.8,21.034634
0,420.000019948929,0.0291887011068047,250.16585,3.118078,0.8,21.367331
0,430.000020423904,0.0298836203380669,250.16585,3.120914,0.9,21.105927
0,440.000020898879,0.0305785423048401,250.18555,3.1235921,0.9,21.19306
0,450.000021373853,0.0312734607910495,250.10675,3.1263099,0.9,21.19306
0,460.000021848828,0.0319683854075284,250.06735,3.1289883,0.9,21.422779
0,470.000022323802,0.0326633133190833,250.20528,3.1316271,0.9,20.987106
0,480.000022798777,0.0333582336447398,250.10675,3.1342659,1,21.19306
0,490.000023273751,0.0340531536630842,250.14615,3.1367867,1,21.07424
0,500.000023748726,0.0347480745247057,250.14615,3.1394258,1,21.098005
0,510.0000242237,0.0354429954525333,250.18555,3.141907,1,21.288116
0,520.000024698675,0.0361379192481317,250.18555,3.1443491,1,21.066319
0,530.000025173649,0.0368328412590705,250.18555,3.1469486,1,21.216824
0,540.000025648624,0.0375277640800646,250.12645,3.1493118,1.1,21.121767
0,550.000026123598,0.0382226847558933,250.16585,3.151675,1.1,21.161375
0,560.000026598573,0.0389176071390788,250.24467,3.1540775,1.1,21.07424
0,570.000027073547,0.0396125290624661,250.20528,3.1564014,1.1,21.280195
0,580.000027548522,0.0403074577731493,250.12645,3.1588433,1.1,20.907892
0,590.000028023496,0.0410023803205532,250.14615,3.1610882,1.2,21.256432
0,600.000028498471,0.0416973008860185,250.14615,3.1634121,1.2,21.137611
0,610.000028973445,0.0423922223715125,250.18555,3.1656573,1.2,21.129688
0,620.00002944842,0.0430871463749101,250.20528,3.1679416,1.2,21.185139
0,630.000029923394,0.043782066864641,250.18555,3.1701078,1.2,21.058397
0,640.000030398369,0.0444769879774984,250.18555,3.1722741,1.2,21.018791
0,650.000030873343,0.0451719150021023,250.22498,3.1744797,1.3,21.066319
0,660.000031348318,0.0458668431980387,250.16585,3.1766067,1.3,21.042555
0,670.000031823292,0.0465617725545841,250.18555,3.1787729,1.3,21.137611
0,680.000032298267,0.047256696689682,250.14615,3.1808605,1.3,21.026712
0,690.000032773241,0.0479516224225447,250.14615,3.1830268,1.3,21.288116
0,700.000033248216,0.0486465481661987,250.14615,3.1849566,1.3,21.050476
0,710.00003372319,0.049341477368927,250.14615,3.1870835,1.4,21.161375
0,720.000034198165,0.0500364050942993,250.10675,3.1891317,1.4,21.058397
0,730.000034673139,0.0507313323709022,250.18555,3.1910615,1.4,21.256432
0,740.000035148114,0.0514262579070452,250.16585,3.1931098,1.4,21.185139
0,750.000035623088,0.0521211847784169,250.20528,3.1950791,1.4,21.145533
0,760.000036098063,0.0528161065160624,250.10675,3.1970484,1.5,21.31188
0,770.000036573038,0.0535110195289781,250.22498,3.1988602,1.5,21.216824
0,780.000037048012,0.0542059432477824,250.14615,3.2009082,1.5,21.19306
0,790.000037522987,0.0549008646678501,250.20528,3.2027988,1.5,21.200983
0,800.000037997961,0.0555957919544813,250.18555,3.2047682,1.5,20.95542
0,810.000038472936,0.0562907157497067,250.16585,3.2066586,1.6,21.327723
0,820.00003894791,0.0569856433651818,250.18555,3.2086675,1.6,21.145533
0,830.000039422885,0.0576805682770877,250.10675,3.2104399,1.6,21.406937
0,840.000039897859,0.0583754972286055,250.20528,3.2122123,1.6,21.319801
0,850.000040372834,0.0590704275808292,250.16585,3.2139058,1.6,21.042555
0,860.000040847808,0.0597653559297011,250.16585,3.2158358,1.6,21.153454
0,870.000041322783,0.0604602824183909,250.16585,3.2175689,1.7,21.224745
0,880.000041797757,0.0611552095852491,250.16585,3.2194593,1.7,21.288116
0,890.000042272732,0.0618501442067464,250.18555,3.2211137,1.7,21.002949
0,900.000042747706,0.0625450710455238,250.18555,3.2229254,1.7,21.391094
0,910.000043222681,0.0632399958917406,250.20528,3.2246585,1.7,21.153454
0,920.000043697655,0.0639349259707557,250.16585,3.2264309,1.8,21.224745
0,930.00004417263,0.0646298511775462,250.20528,3.2280457,1.8,21.105927
0,940.000044647604,0.0653247714810096,250.22498,3.2298574,1.8,21.19306
0,950.000045122578,0.0660196941267141,250.12645,3.2315905,1.8,21.367331
0,960.000045597553,0.0667146201111518,250.16585,3.2332053,1.9,21.280195
0,970.000046072527,0.0674095495000034,250.12645,3.2348201,1.9,21.137611
0,980.000046547503,0.0681044768090227,250.16585,3.2364349,1.9,21.272274
0,990.000047022476,0.0687993969485304,250.18555,3.238168,1.9,21.31188
0,1000.00004749745,0.0694943181496853,250.16585,3.2398224,1.9,21.359409
0,1010.00004797243,0.070189245010537,250.14615,3.2412796,1.9,21.07424
0,1020.0000484474,0.0708841666058265,250.20528,3.243052,2,21.272274
0,1030.00004892237,0.071579088419554,250.24467,3.2445881,2,21.288116
0,1040.00004939735,0.0722740179941983,250.14615,3.2462423,2,21.200983
0,1050.00004987232,0.0729689424246809,250.12645,3.2476997,2,21.050476
0,1060.0000503473,0.0736638706531525,250.08705,3.2492752,2.1,20.987106
0,1070.00005082227,0.0743587933209652,250.16585,3.251008,2.1,21.169296
0,1080.00005129725,0.0750537159567769,250.14615,3.2524655,2.1,21.367331
0,1090.00005177222,0.0757486398392826,250.24467,3.2540014,2.1,21.351486
0,1100.0000522472,0.0764435689771695,250.24467,3.2554982,2.2,21.296038
0,1110.00005272217,0.0771384968887244,250.10675,3.2570343,2.2,21.113846
0,1120.00005319715,0.0778334281389449,250.16585,3.2584915,2.2,21.19306
0,1130.00005367212,0.0785283592354753,250.12645,3.2599094,2.2,21.296038
0,1140.00005414709,0.0792232827239058,250.14615,3.2615244,2.2,21.232666
0,1150.00005462207,0.079918207526296,250.18555,3.2629817,2.3,21.169296
0,1160.00005509704,0.0806131326999495,250.12645,3.2645178,2.3,21.129688
0,1170.00005557202,0.0813080548099094,250.12645,3.2659357,2.3,21.280195
0,1180.00005604699,0.0820029885889774,250.12645,3.2674718,2.3,21.4307
0,1190.00005652197,0.0826979148360189,250.20528,3.268811,2.3,21.319801
0,1200.00005699694,0.0833928349318017,250.22498,3.2703469,2.4,21.113846
0,1210.00005747192,0.0840877564172109,250.14615,3.2716861,2.4,21.343565
0,1220.00005794689,0.0847826786362881,250.20528,3.2730646,2.4,21.145533
0,1230.00005842187,0.0854776090431976,250.16585,3.2744431,2.5,21.288116
0,1240.00005889684,0.0861725312508901,250.22498,3.2759006,2.5,21.359409
0,1250.00005937181,0.0868674541926405,250.28407,3.2773185,2.5,21.240587
0,1260.00005984679,0.0875623829796685,250.16585,3.2786574,2.5,21.256432
0,1270.00006032176,0.0882573041919708,250.22498,3.2800756,2.5,21.24851
0,1280.00006079674,0.0889522155406443,250.14615,3.2814145,2.6,21.058397
0,1290.00006127171,0.0896471379682499,250.12645,3.282675,2.6,21.224745
0,1300.00006174669,0.090342061883884,250.24467,3.2841716,2.6,21.232666
0,1310.00006222166,0.0910369867410787,250.14615,3.2853928,2.6,21.200983
0,1320.00006269664,0.0917319102844238,250.18555,3.2867317,2.7,21.446543
0,1330.00006317161,0.0924268299197981,250.12645,3.2881103,2.7,21.200983
