N,t,Q,V,E,T
0,0,0,2.8991325,0.1,21.252148
0,10.0000004749745,0.000694777235412598,2.9226861,0.1,21.291552
0,20.000000949949,0.00138955074988471,2.9384015,0.1,21.40188
0,30.0000014249235,0.00208431082519531,2.9503357,0.1,21.512209
0,40.000001899898,0.00277909540399339,2.9599464,0.1,21.551613
0,50.0000023748726,0.0034738806832038,2.9680996,0.1,21.701345
0,60.0000028498471,0.00416864952461243,2.9755044,0.1,21.740749
0,70.0000033248216,0.00486340278184679,2.9822788,0.2,21.748631
0,80.0000037997961,0.0055581483454895,2.9886203,0.2,21.583136
0,90.0000042747706,0.00625287378322177,2.9945283,0.2,21.614658
0,100.000004749745,0.00694756390485128,3.000082,0.2,21.835316
0,110.00000522472,0.00764227028917948,3.0053992,0.2,21.835316
0,120.000005699694,0.00833698221114264,3.0104802,0.2,21.87472
0,130.000006174669,0.00903169683625963,3.0153248,0.3,21.87472
0,140.000006649643,0.00972639166378445,3.0200906,0.3,22.016573
0,150.000007124618,0.0104210771342384,3.0247777,0.3,22.00869
0,160.000007599592,0.0111157684925334,3.0293074,0.3,21.953527
0,170.000008074567,0.0118104545430247,3.033561,0.3,22.00869
0,180.000008549541,0.0125051418082852,3.0378542,0.3,22.11902
0,190.000009024516,0.0131998274210103,3.0419505,0.4,22.087498
0,200.00000949949,0.0138945075398763,3.0460467,0.4,21.969288
0,210.000009974465,0.0145891936669752,3.0499856,0.4,22.111139
0,220.000010449439,0.0152838766531542,3.0538454,0.4,22.016573
0,230.000010924414,0.0159785594970618,3.0576661,0.4,22.024452
0,240.000011399388,0.0166732356761085,3.0614867,0.4,22.150543
0,250.000011874363,0.0173679183339691,3.0650315,0.4,21.969288
0,260.000012349337,0.0180626027538045,3.0686157,0.4,22.00869
0,270.000012824312,0.0187572954472605,3.0721605,0.5,22.1269
0,280.000013299286,0.0194519816728465,3.0755873,0.5,21.922003
0,290.000013774261,0.0201466660160743,3.0790534,0.5,21.914124
0,300.000014249235,0.0208413507861159,3.0823619,0.5,22.268753
0,310.00001472421,0.0215360363878971,3.0857885,0.5,22.00869
0,320.000015199184,0.0222307278009118,3.0889394,0.5,22.1269
0,330.000015674159,0.0229254156352573,3.0921299,0.5,21.961407
0,340.000016149133,0.0236201029990133,3.0952022,0.6,22.1269
0,350.000016624108,0.0243147921685198,3.0983531,0.6,22.371202
0,360.000017099083,0.0250094795979479,3.1014254,0.6,22.197826
0,370.000017574057,0.0257041672353024,3.1044581,0.6,22.1269
0,380.000018049031,0.0263988551790873,3.1074121,0.6,21.977169
0,390.000018524006,0.0270935376837328,3.1103661,0.7,22.071735
0,400.000018998981,0.0277882235591126,3.1133204,0.7,22.095379
0,410.000019473955,0.0284829107915412,3.1161168,0.7,22.10326
0,420.000019948929,0.029177603911811,3.1189132,0.7,22.189945
0,430.000020423904,0.0298722969226413,3.1216702,0.7,22.000811
0,440.000020898879,0.0305669857857174,3.1244669,0.7,22.150543
0,450.000021373853,0.0312616751850467,3.127027,0.8,22.197826
0,460.000021848828,0.0319563703518338,3.1297841,0.8,21.977169
0,470.000022323802,0.0326510644351705,3.1324232,0.8,22.071735
0,480.000022798777,0.0333457568988037,3.1351802,0.8,21.985048
0,490.000023273751,0.0340404451161872,3.1376615,0.8,22.166306
0,500.000023748726,0.034735135566135,3.1401036,0.9,22.189945
0,510.0000242237,0.0354298272636922,3.1427424,0.9,22.166306
0,520.000024698675,0.0361245216315714,3.1451845,0.9,22.079617
