Time (s),Voltage (V),Current (A),Cell Temperature,Thermocouple_2,Force,Current Shunt,CO2 from CAN (ppm),Humidity,Pressure,Status 1 ,Gas Temperature,Status 2,Thermal Conductivity
0.193,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
0.993,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
1.103,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
1.213,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
1.323,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
1.433,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
1.543,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
1.653,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
1.763,0,0,0,0,0,0,490,32,100,0,21.84375,0,1.132
1.873,0,0,0,0,0,0,490,32,100,0,21.84375,0,1.132
1.983,0,0,0,0,0,0,490,32,100,0,21.84375,0,1.132
2.093,0,0,0,0,0,0,490,32,100,0,21.84375,0,1.132
2.203,0,0,0,0,0,0,490,32,100,0,21.84375,0,1.132
2.313,0,0,0,0,0,0,490,32,100,0,21.84375,0,1.132
2.423,0,0,0,0,0,0,490,32,100,0,21.84375,0,1.132
2.533,0,0,0,0,0,0,490,32,100,0,21.84375,0,1.132
2.643,0,0,0,0,0,0,490,32,100,0,21.84375,0,1.132
2.753,0,0,0,0,0,0,490,32,100,0,21.84375,0,1.132
2.863,0,0,0,0,0,0,489,32,100,0,21.84375,0,1.133
2.973,0,0,0,0,0,0,489,32,100,0,21.84375,0,1.133
3.083,0,0,0,0,0,0,489,32,100,0,21.84375,0,1.133
3.193,0,0,0,0,0,0,489,32,100,0,21.84375,0,1.133
3.303,0,0,0,0,0,0,489,32,100,0,21.84375,0,1.133
3.413,0,0,0,0,0,0,489,32,100,0,21.84375,0,1.133
3.523,0,0,0,0,0,0,489,32,100,0,21.84375,0,1.133
3.633,0,0,0,0,0,0,489,32,100,0,21.84375,0,1.133
3.743,0,0,0,0,0,0,489,32,100,0,21.84375,0,1.133
3.853,0,0,0,0,0,0,489,32,100,0,21.84375,0,1.133
3.963,0,0,0,0,0,0,489,32,100,0,21.84375,0,1.133
4.073,0,0,0,0,0,0,492,32,100,0,21.84375,0,1.133
4.183,0,0,0,0,0,0,492,32,100,0,21.84375,0,1.133
4.293,0,0,0,0,0,0,492,32,100,0,21.84375,0,1.133
4.403,0,0,0,0,0,0,492,32,100,0,21.84375,0,1.133
4.513,0,0,0,0,0,0,492,32,100,0,21.84375,0,1.133
4.623,0,0,0,0,0,0,492,32,100,0,21.84375,0,1.132
4.733,0,0,0,0,0,0,492,32,100,0,21.84375,0,1.132
4.843,0,0,0,0,0,0,492,32,100,0,21.84375,0,1.132
4.944,0,0,0,0,0,0,492,32,100,0,21.84375,0,1.132
5.053,0,0,0,0,0,0,492,32,100,0,21.84375,0,1.132
5.163,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
5.273,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
5.383,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
5.493,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
5.603,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
5.713,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
5.823,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
5.933,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
6.043,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
6.153,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
6.263,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
6.373,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
6.483,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
6.593,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
6.703,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
6.813,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
6.923,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
7.033,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
7.143,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
7.253,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
7.363,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
7.473,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
7.583,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
7.693,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
7.803,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
7.913,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
8.023,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.132
8.133,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.133
8.243,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.133
8.353,0,0,0,0,0,0,494,32,100,0,21.84375,0,1.133
8.463,0,0,0,0,0,0,493,32,100,0,21.84375,0,1.133
8.573,0,0,0,0,0,0,493,32,100,0,21.84375,0,1.133
8.683,0,0,0,0,0,0,493,32,100,0,21.84375,0,1.133
8.783,4.165527082,0,22.6779515,23.52374153,10.56476803,-0.797094566,493,32,100,0,21.84375,0,1.133
8.883,4.165487214,0,22.61859223,23.52374153,10.53563775,-0.844912472,493,32,100,0,21.84375,0,1.133
8.983,4.165527082,0,22.60869872,23.53362385,10.56153133,-0.805064217,493,32,100,0,21.84375,0,1.133
9.083,4.165487214,0,22.58891142,23.52374153,10.55505794,-0.928593807,493,32,100,0,21.84375,0,1.133
9.183,4.165487214,0,22.58891142,23.49409406,10.56800473,-0.836942821,493,32,100,0,21.84375,0,1.133
9.283,4.165527082,0,22.59880511,23.51385913,10.51945426,-0.741307009,493,32,100,0,21.84375,0,1.133
9.383,4.16556695,0,22.60869872,23.50397664,10.56153133,-0.884760726,493,32,100,0,21.84375,0,1.133
9.483,4.16556695,0,22.59880511,23.54350608,10.51945426,-0.789124915,493,32,100,0,21.84375,0,1.133
9.583,4.165527082,0,22.60869872,23.52374153,10.52269096,-0.74927666,495,32,100,0,21.84375,0,1.133
9.683,4.16556695,0,22.60869872,23.52374153,10.58095152,-0.745291835,495,32,100,0,21.84375,0,1.133
9.783,4.165487214,0,22.61859223,23.51385913,10.54858454,-0.777170439,495,32,100,0,21.84375,0,1.133
9.883,4.165487214,0,22.59880511,23.49409406,10.53887445,-0.844912472,495,32,100,0,21.84375,0,1.133
9.983,4.165527082,0,22.60869872,23.50397664,10.55505794,-0.821003519,495,32,100,0,21.84375,0,1.133
10.083,4.165527082,0,22.61859223,23.51385913,10.55829463,-0.848897297,495,32,100,0,21.84375,0,1.133
10.183,4.16556695,0,22.60869872,23.49409406,10.58418822,-0.801079391,495,32,100,0,21.84375,0,1.133
10.283,4.165527082,0,22.59880511,23.51385913,10.54858454,-0.809049042,495,32,100,0,21.84375,0,1.133
10.383,4.165527082,0,22.59880511,23.49409406,10.51621756,-0.805064217,495,32,100,0,21.84375,0,1.133
10.483,4.16556695,0,22.60869872,23.54350608,10.55182124,-0.805064217,495,32,100,0,21.84375,0,1.133
10.583,4.165527082,0,22.58891142,23.50397664,10.52592766,-0.793109741,495,32,100,0,21.84375,0,1.133
10.683,4.165487214,0,22.59880511,23.52374153,10.54858454,-0.836942821,498,32,100,0,21.84375,0,1.133
10.783,4.165527082,0,22.60869872,23.50397664,10.56153133,-0.876791076,498,32,100,0,21.84375,0,1.133
10.883,4.165527082,0,22.62848566,23.49409406,10.53563775,-0.920624156,498,32,100,0,21.84375,0,1.133
10.983,4.165527082,0,22.56912378,23.52374153,10.55829463,-0.74927666,498,32,100,0,21.84375,0,1.133
11.083,4.165527082,0,22.61859223,23.49409406,10.52592766,-0.876791076,498,32,100,0,21.84375,0,1.133
11.183,4.16556695,0,22.59880511,23.52374153,10.53240105,-0.840927646,498,32,100,0,21.84375,0,1.133
11.283,4.165527082,0,22.60869872,23.52374153,10.57124143,-0.896715203,498,32,100,0,21.84375,0,1.133
11.383,4.165527082,0,22.61859223,23.50397664,10.53240105,-0.813033868,498,32,100,0,21.84375,0,1.133
11.483,4.165606817,0,22.58891142,23.51385913,10.56800473,-0.737322184,498,32,100,0,21.84375,0,1.133
11.583,4.165527082,0,22.60869872,23.52374153,10.53887445,-0.892730377,498,32,100,0,21.84375,0,1.133
11.683,4.16556695,0,22.58891142,23.51385913,10.55829463,-0.78514009,498,32,100,0,21.84375,0,1.133
11.783,4.165527082,0,22.60869872,23.52374153,10.55829463,-0.900700028,500,32,100,0,21.84375,0,1.133
11.883,4.16556695,0,22.60869872,23.52374153,10.53563775,-0.805064217,500,32,100,0,21.84375,0,1.133
11.983,4.165606817,0,22.60869872,23.51385913,10.56800473,-0.840927646,500,32,100,0,21.84375,0,1.133
12.083,4.165527082,0,22.59880511,23.52374153,10.55505794,-0.793109741,500,32,100,0,21.84375,0,1.133
12.183,4.16556695,0,22.58891142,23.53362385,10.55829463,-0.87280625,500,32,100,0,21.84375,0,1.133
12.283,4.165527082,0,22.57901764,23.50397664,10.51945426,-0.896715203,500,32,100,0,21.84375,0,1.133
12.383,4.165606817,0,22.55922983,23.49409406,10.54534784,-0.773185613,500,32,100,0,21.84375,0,1.133
12.483,4.165527082,0,22.60869872,23.51385913,10.54211114,-0.721382882,500,32,100,0,21.84375,0,1.133
12.59,4.165527082,0,22.59880511,23.52374153,10.54534784,-0.793109741,500,32,100,0,21.84375,0,1.133
12.691,4.165487214,0,22.59880511,23.50397664,10.56476803,-0.793109741,500,32,100,0,21.84375,0,1.133
12.791,4.165606817,0,22.59880511,23.51385913,10.56153133,-0.777170439,501,32,100,0,21.84375,0,1.133
12.891,4.165487214,0,22.57901764,23.51385913,10.54534784,-0.78514009,501,32,100,0,21.84375,0,1.133
12.991,4.16556695,0,22.60869872,23.50397664,10.56800473,-0.884760726,501,32,100,0,21.84375,0,1.133
13.091,4.165487214,0,22.58891142,23.51385913,10.58418822,-0.745291835,501,32,100,0,21.84375,0,1.133
13.191,4.165527082,0,22.58891142,23.52374153,10.53887445,-0.864836599,501,32,100,0,21.84375,0,1.132
13.291,4.165527082,0,22.60869872,23.48421139,10.55182124,-0.868821425,501,32,100,0,21.84375,0,1.132
13.391,4.165606817,0,22.57901764,23.50397664,10.54211114,-0.805064217,501,32,100,0,21.84375,0,1.132
13.491,4.165527082,0,22.59880511,23.50397664,10.59389831,-0.805064217,501,32,100,0,21.84375,0,1.132
13.591,4.165527082,0,22.59880511,23.51385913,10.52592766,-0.884760726,501,32,100,0,21.84375,0,1.132
13.691,4.165527082,0,22.55922983,23.50397664,10.54534784,-0.765215962,501,32,100,0,21.84375,0,1.132
13.791,4.165527082,0,22.56912378,23.52374153,10.55182124,-0.805064217,501,32,100,0,21.84375,0,1.132
13.891,4.165527082,0,22.61859223,23.51385913,10.56476803,-0.737322184,502,32,100,0,21.84375,0,1.132
13.991,4.165527082,0,22.58891142,23.50397664,10.54534784,-0.848897297,502,32,100,0,21.84375,0,1.132
14.091,4.165527082,0,22.56912378,23.51385913,10.53240105,-0.888745552,502,32,100,0,21.84375,0,1.132
14.191,4.16556695,0,22.57901764,23.48421139,10.49356068,-0.848897297,502,32,100,0,21.84375,0,1.132
14.291,4.165606817,0,22.58891142,23.49409406,10.56800473,-0.856866948,502,32,100,0,21.84375,0,1.132
14.391,4.165447346,0,22.58891142,23.50397664,10.57124143,-0.832957995,502,32,100,0,21.84375,0,1.132
14.491,4.16556695,0,22.59880511,23.48421139,10.55829463,-0.777170439,502,32,100,0,21.84375,0,1.132
14.591,4.165447346,0,22.59880511,23.49409406,10.52269096,-0.920624156,502,32,100,0,21.84375,0,1.132
14.691,4.16556695,0,22.54933579,23.49409406,10.58418822,-0.884760726,502,32,100,0,21.84375,0,1.132
14.791,4.16556695,0,22.58891142,23.52374153,10.53563775,-0.809049042,502,32,100,0,21.84375,0,1.132
14.891,4.165527082,0,22.59880511,23.49409406,10.57124143,-0.817018693,502,32,100,0,21.84375,0,1.132
14.991,4.165487214,0,22.60869872,23.51385913,10.55829463,-0.82897317,503,32,100,0,21.84375,0,1.133
15.091,4.16556695,0,22.60869872,23.50397664,10.57771482,-0.852882123,503,32,100,0,21.84375,0,1.133
15.191,4.165606817,0,22.58891142,23.50397664,10.56476803,-0.789124915,503,32,100,0,21.84375,0,1.133
15.291,4.16556695,0,22.55922983,23.48421139,10.58742492,-0.832957995,503,32,100,0,21.84375,0,1.133
15.391,4.165527082,0,22.58891142,23.50397664,10.58095152,-0.840927646,503,32,100,0,21.84375,0,1.133
15.491,4.165606817,0,22.58891142,23.50397664,10.55182124,-0.832957995,503,32,100,0,21.84375,0,1.133
15.591,4.165606817,0,22.59880511,23.51385913,10.53563775,-0.789124915,503,32,100,0,21.84375,0,1.133
15.691,4.165527082,0,22.55922983,23.49409406,10.53887445,-0.844912472,503,32,100,0,21.84375,0,1.133
15.791,4.165606817,0,22.57901764,23.51385913,10.51621756,-0.844912472,503,32,100,0,21.84375,0,1.133
15.891,4.165606817,0,22.58891142,23.49409406,10.59066161,-0.805064217,503,32,100,0,21.875,0,1.133
15.991,4.16556695,0,22.58891142,23.49409406,10.54858454,-0.789124915,503,32,100,0,21.875,0,1.133
16.091,4.165487214,0,22.58891142,23.48421139,10.55182124,-0.82897317,499,32,100,0,21.875,0,1.133
16.191,4.16556695,0,22.57901764,23.48421139,10.60037171,-0.892730377,499,32,100,0,21.875,0,1.133
16.291,4.165487214,0,22.59880511,23.49409406,10.52592766,-0.868821425,499,32,100,0,21.875,0,1.133
16.391,4.16556695,0,22.57901764,23.49409406,10.52592766,-0.876791076,499,32,100,0,21.875,0,1.133
16.491,4.165527082,0,22.58891142,23.50397664,10.54858454,-0.813033868,499,32,100,0,21.875,0,1.133
16.591,4.16556695,0,22.55922983,23.53362385,10.54858454,-0.864836599,499,32,100,0,21.875,0,1.133
16.691,4.16556695,0,22.57901764,23.49409406,10.57447812,-0.789124915,499,32,100,0,21.875,0,1.132
16.791,4.16556695,0,22.56912378,23.51385913,10.55505794,-0.864836599,499,32,100,0,21.875,0,1.132
16.891,4.165527082,0,22.58891142,23.49409406,10.52592766,-0.793109741,499,32,100,0,21.875,0,1.132
16.991,4.16556695,0,22.54933579,23.52374153,10.55505794,-0.801079391,499,32,100,0,21.875,0,1.132
