Time (s),Voltage (V),Current (A),Cell Temperature,Thermocouple_2,Force,Current Shunt,CO2 from CAN (ppm),Humidity,Pressure,Status 1 ,Gas Temperature,Status 2,Thermal Conductivity,Temperature_T_type
0.23,0,0,0,0,0,0,492,32,100.2,0,21.71875,0,0.923,0
1.02,0,0,0,0,0,0,492,32,100.2,0,21.71875,0,0.923,0
1.13,0,0,0,0,0,0,492,32,100.2,0,21.71875,0,0.923,0
1.24,0,0,0,0,0,0,492,32,100.2,0,21.71875,0,0.923,0
1.35,0,0,0,0,0,0,492,32,100.2,0,21.71875,0,0.923,0
1.46,0,0,0,0,0,0,492,32,100.2,0,21.71875,0,0.923,0
1.57,0,0,0,0,0,0,492,32,100.2,0,21.71875,0,0.923,0
1.68,0,0,0,0,0,0,494,32,100.2,0,21.71875,0,0.923,0
1.79,0,0,0,0,0,0,494,32,100.2,0,21.71875,0,0.923,0
1.9,0,0,0,0,0,0,494,32,100.2,0,21.71875,0,0.923,0
2.01,0,0,0,0,0,0,494,32,100.2,0,21.71875,0,0.923,0
2.12,0,0,0,0,0,0,494,32,100.2,0,21.71875,0,0.923,0
2.23,0,0,0,0,0,0,494,32,100.2,0,21.71875,0,0.923,0
2.34,0,0,0,0,0,0,494,32,100.2,0,21.71875,0,0.923,0
2.45,0,0,0,0,0,0,494,32,100.2,0,21.71875,0,0.923,0
2.56,0,0,0,0,0,0,494,32,100.2,0,21.71875,0,0.923,0
2.67,0,0,0,0,0,0,494,32,100.2,0,21.71875,0,0.923,0
2.78,0,0,0,0,0,0,494,32,100.2,0,21.71875,0,0.923,0
2.89,0,0,0,0,0,0,494,32,100.2,0,21.71875,0,0.923,0
3,0,0,0,0,0,0,494,32,100.2,0,21.71875,0,0.923,0
3.11,0,0,0,0,0,0,494,32,100.2,0,21.71875,0,0.923,0
3.22,0,0,0,0,0,0,494,32,100.2,0,21.71875,0,0.923,0
3.33,0,0,0,0,0,0,494,32,100.2,0,21.71875,0,0.923,0
3.44,0,0,0,0,0,0,494,32,100.2,0,21.71875,0,0.923,0
3.55,0,0,0,0,0,0,494,32,100.2,0,21.71875,0,0.923,0
3.66,0,0,0,0,0,0,494,32,100.2,0,21.71875,0,0.923,0
3.77,0,0,0,0,0,0,495,32,100.2,0,21.71875,0,0.923,0
3.88,0,0,0,0,0,0,495,32,100.2,0,21.71875,0,0.923,0
3.99,0,0,0,0,0,0,495,32,100.2,0,21.71875,0,0.923,0
4.1,0,0,0,0,0,0,495,32,100.2,0,21.71875,0,0.923,0
4.21,0,0,0,0,0,0,495,32,100.2,0,21.71875,0,0.923,0
4.32,0,0,0,0,0,0,495,32,100.2,0,21.71875,0,0.923,0
4.43,0,0,0,0,0,0,495,32,100.2,0,21.71875,0,0.923,0
4.54,0,0,0,0,0,0,495,32,100.2,0,21.71875,0,0.923,0
4.65,0,0,0,0,0,0,495,32,100.2,0,21.71875,0,0.923,0
4.76,0,0,0,0,0,0,495,32,100.2,0,21.71875,0,0.923,0
4.87,0,0,0,0,0,0,495,32,100.2,0,21.71875,0,0.923,0
4.98,0,0,0,0,0,0,495,32,100.2,0,21.71875,0,0.923,0
5.09,0,0,0,0,0,0,495,32,100.2,0,21.71875,0,0.923,0
5.2,0,0,0,0,0,0,495,32,100.2,0,21.71875,0,0.923,0
5.31,0,0,0,0,0,0,495,32,100.2,0,21.71875,0,0.923,0
5.41,3.681771581,0,20.80664373,21.66431355,9.940085341,-0.876791076,495,32,100.2,0,21.71875,0,0.923,21.78651517
5.514,3.681811449,0,20.81655285,21.69400929,9.930375247,-0.793109741,495,32,100.2,0,21.71875,0,0.923,21.79045924
5.614,3.681771581,0,20.84627968,21.6841108,9.962742226,-0.876791076,495,32,100.2,0,21.71875,0,0.923,21.79834729
5.714,3.681691846,0,20.79673454,21.67421222,9.891534873,-0.797094566,495,32,100.2,0,21.71875,0,0.923,21.79045924
5.814,3.681771581,0,20.80664373,21.69400929,9.936848643,-0.864836599,495,32,100.2,0,21.71875,0,0.923,21.78651517
5.914,3.681731713,0,20.80664373,21.7039077,9.917428456,-0.797094566,496,32,100.2,0,21.71875,0,0.923,21.79045924
6.014,3.681771581,0,20.80664373,21.67421222,9.868877988,-0.817018693,496,32,100.2,0,21.71875,0,0.923,21.79834729
6.114,3.681731713,0,20.83637082,21.66431355,9.930375247,-0.773185613,496,32,100.2,0,21.71875,0,0.923,21.77468275
6.214,3.681811449,0,20.80664373,21.66431355,9.95626883,-0.868821425,496,32,100.2,0,21.71875,0,0.923,21.79045924
6.314,3.681731713,0,20.79673454,21.66431355,9.917428456,-0.817018693,496,32,100.2,0,21.71875,0,0.923,21.78651517
6.414,3.681771581,0,20.83637082,21.66431355,9.940085341,-0.805064217,496,32,100.2,0,21.71875,0,0.923,21.78651517
6.514,3.681771581,0,20.82646187,21.66431355,9.940085341,-0.848897297,496,32,100.2,0,21.71875,0,0.923,21.79045924
6.614,3.681731713,0,20.79673454,21.6544148,9.959505528,-0.773185613,497,32,100.2,0,21.71875,0,0.923,21.79440328
6.714,3.681811449,0,20.82646187,21.67421222,9.969215622,-0.793109741,497,32,100.2,0,21.71875,0,0.923,21.79834729
6.814,3.681811449,0,20.81655285,21.67421222,9.920665154,-0.757246311,497,32,100.2,0,21.71875,0,0.923,21.79440328
6.914,3.681811449,0,20.81655285,21.6841108,9.927138549,-0.860851774,497,32,100.2,0,21.71875,0,0.923,21.77862692
7.014,3.681731713,0,20.82646187,21.66431355,9.949795434,-0.848897297,497,32,100.2,0,21.71875,0,0.923,21.80229126
7.114,3.681731713,0,20.81655285,21.66431355,9.988635809,-0.805064217,497,32,100.2,0,21.71875,0,0.923,21.78651517
7.214,3.681731713,0,20.79673454,21.66431355,9.891534873,-0.836942821,497,32,100.2,0,21.71875,0,0.923,21.78257106
7.314,3.681731713,0,20.81655285,21.67421222,9.917428456,-0.805064217,497,32,100.2,0,21.71875,0,0.924,21.77862692
7.414,3.681731713,0,20.79673454,21.67421222,9.933611945,-0.797094566,497,32,100.2,0,21.71875,0,0.924,21.78257106
7.514,3.681771581,0,20.79673454,21.66431355,9.894771571,-0.765215962,497,32,100.2,0,21.71875,0,0.924,21.77468275
7.614,3.681771581,0,20.80664373,21.6841108,9.936848643,-0.777170439,497,32,100.2,0,21.71875,0,0.924,21.79834729
7.714,3.681771581,0,20.82646187,21.6841108,9.933611945,-0.884760726,497,32,100.2,0,21.71875,0,0.924,21.79045924
7.814,3.681731713,0,20.80664373,21.69400929,9.943322039,-0.852882123,497,32,100.2,0,21.71875,0,0.924,21.79440328
7.914,3.681771581,0,20.80664373,21.66431355,9.894771571,-0.789124915,497,32,100.2,0,21.71875,0,0.924,21.78257106
8.014,3.681811449,0,20.80664373,21.67421222,9.946558737,-0.896715203,500,32,100.2,0,21.71875,0,0.924,21.78651517
8.114,3.681771581,0,20.80664373,21.66431355,9.927138549,-0.769200788,500,32,100.2,0,21.71875,0,0.924,21.78651517
8.214,3.681771581,0,20.81655285,21.6544148,9.930375247,-0.817018693,500,32,100.2,0,21.71875,0,0.924,21.78651517
8.314,3.681771581,0,20.82646187,21.66431355,9.949795434,-0.82897317,500,32,100.2,0,21.71875,0,0.924,21.78257106
8.414,3.681771581,0,20.81655285,21.6841108,9.936848643,-0.78514009,500,32,100.2,0,21.71875,0,0.923,21.79045924
8.514,3.681691846,0,20.80664373,21.67421222,9.920665154,-0.836942821,500,32,100.2,0,21.71875,0,0.923,21.78257106
8.614,3.681771581,0,20.81655285,21.6544148,9.949795434,-0.868821425,500,32,100.2,0,21.71875,0,0.923,21.79440328
8.714,3.681731713,0,20.80664373,21.67421222,9.914191758,-0.797094566,501,32,100.2,0,21.71875,0,0.923,21.79045924
8.814,3.681731713,0,20.80664373,21.6544148,9.975689017,-0.777170439,501,32,100.2,0,21.71875,0,0.923,21.79045924
8.914,3.681771581,0,20.79673454,21.6544148,9.927138549,-0.95250276,501,32,100.2,0,21.71875,0,0.923,21.79045924
9.014,3.681731713,0,20.82646187,21.67421222,9.904481664,-0.852882123,501,32,100.2,0,21.71875,0,0.923,21.79045924
9.114,3.681771581,0,20.80664373,21.66431355,9.953032132,-0.753261486,501,32,100.2,0,21.71875,0,0.923,21.79045924
9.214,3.681691846,0,20.79673454,21.66431355,9.946558737,-0.801079391,501,32,100.2,0,21.71875,0,0.923,21.78651517
9.314,3.681851316,0,20.78682526,21.66431355,9.901244966,-0.840927646,501,32,100.2,0,21.71875,0,0.923,21.77468275
9.414,3.681811449,0,20.80664373,21.66431355,9.962742226,-0.773185613,500,32,100.2,0,21.71875,0,0.923,21.77468275
9.514,3.681891184,0,20.81655285,21.67421222,9.936848643,-0.832957995,500,32,100.2,0,21.71875,0,0.924,21.79045924
9.614,3.681731713,0,20.78682526,21.63461705,9.940085341,-0.956487585,500,32,100.2,0,21.71875,0,0.924,21.78651517
9.714,3.681771581,0,20.80664373,21.64451597,9.930375247,-0.773185613,500,32,100.2,0,21.71875,0,0.924,21.78651517
9.814,3.681731713,0,20.7769159,21.67421222,9.946558737,-0.82897317,500,32,100.2,0,21.71875,0,0.924,21.79045924
9.914,3.681811449,0,20.82646187,21.66431355,9.923901851,-0.836942821,500,32,100.2,0,21.71875,0,0.924,21.79045924
10.014,3.681771581,0,20.80664373,21.66431355,9.965978924,-0.813033868,500,32,100.2,0,21.71875,0,0.924,21.78651517
10.114,3.681771581,0,20.79673454,21.6841108,9.965978924,-0.821003519,500,32,100.2,0,21.71875,0,0.924,21.78651517
10.214,3.681771581,0,20.79673454,21.66431355,9.898008269,-0.860851774,500,32,100.2,0,21.75,0,0.924,21.78257106
10.314,3.681771581,0,20.80664373,21.6544148,9.943322039,-0.880775901,500,32,100.2,0,21.71875,0,0.924,21.77862692
10.414,3.681811449,0,20.78682526,21.66431355,9.901244966,-0.860851774,500,32,100.2,0,21.75,0,0.924,21.78257106
10.514,3.681771581,0,20.81655285,21.66431355,9.904481664,-0.940548283,500,32,100.2,0,21.75,0,0.924,21.78257106
10.614,3.681851316,0,20.80664373,21.67421222,9.936848643,-0.777170439,500,32,100.2,0,21.75,0,0.924,21.77468275
10.714,3.681691846,0,20.84627968,21.66431355,9.943322039,-0.888745552,500,32,100.2,0,21.75,0,0.924,21.77468275
10.814,3.681771581,0,20.84627968,21.6841108,9.936848643,-0.876791076,500,32,100.2,0,21.75,0,0.924,21.78257106
10.914,3.681771581,0,20.80664373,21.6544148,9.907718362,-0.860851774,500,32,100.2,0,21.75,0,0.924,21.78651517
11.014,3.681771581,0,20.80664373,21.7039077,9.933611945,-0.832957995,500,32,100.2,0,21.75,0,0.924,21.77862692
11.114,3.681771581,0,20.80664373,21.7039077,9.930375247,-0.777170439,500,32,100.2,0,21.75,0,0.924,21.78651517
11.214,3.681731713,0,20.81655285,21.71380602,9.936848643,-0.813033868,500,32,100.2,0,21.75,0,0.924,21.79045924
11.314,3.681731713,0,20.80664373,21.66431355,9.881824779,-0.805064217,500,32,100.2,0,21.75,0,0.924,21.78651517
11.414,3.681771581,0,20.78682526,21.67421222,9.920665154,-0.856866948,500,32,100.2,0,21.75,0,0.924,21.79834729
11.514,3.681691846,0,20.80664373,21.67421222,9.914191758,-0.824988344,497,32,100.2,0,21.75,0,0.924,21.78651517
11.614,3.681731713,0,20.80664373,21.67421222,9.940085341,-0.809049042,497,32,100.2,0,21.75,0,0.924,21.79045924
11.714,3.681811449,0,20.78682526,21.67421222,9.95626883,-0.836942821,497,32,100.2,0,21.75,0,0.924,21.78257106
11.814,3.681771581,0,20.78682526,21.71380602,9.965978924,-0.821003519,497,32,100.2,0,21.75,0,0.924,21.78651517
11.914,3.681771581,0,20.82646187,21.66431355,9.923901851,-0.888745552,497,32,100.2,0,21.75,0,0.924,21.79045924
12.014,3.681771581,0,20.79673454,21.66431355,9.927138549,-0.924608981,497,32,100.2,0,21.75,0,0.924,21.77862692
12.114,3.681771581,0,20.83637082,21.6841108,9.894771571,-0.87280625,497,32,100.2,0,21.75,0,0.924,21.79045924
12.214,3.681651978,0,20.80664373,21.6841108,9.914191758,-0.852882123,497,32,100.2,0,21.75,0,0.924,21.77862692
12.314,3.681851316,0,20.81655285,21.6841108,9.920665154,-0.860851774,497,32,100.2,0,21.75,0,0.924,21.78257106
12.414,3.681811449,0,20.81655285,21.66431355,9.904481664,-0.87280625,497,32,100.2,0,21.75,0,0.924,21.78651517
12.514,3.681771581,0,20.80664373,21.6544148,9.923901851,-0.821003519,497,32,100.2,0,21.75,0,0.924,21.79045924
12.614,3.681691846,0,20.82646187,21.6544148,9.917428456,-0.912654505,497,32,100.2,0,21.75,0,0.924,21.79834729
12.714,3.681811449,0,20.79673454,21.67421222,9.914191758,-0.789124915,497,32,100.2,0,21.75,0,0.924,21.78651517
12.814,3.681771581,0,20.81655285,21.67421222,9.965978924,-0.888745552,497,32,100.2,0,21.75,0,0.924,21.77468275
12.914,3.681691846,0,20.81655285,21.63461705,9.940085341,-0.821003519,496,32,100.2,0,21.75,0,0.924,21.78651517
13.014,3.681691846,0,20.82646187,21.67421222,9.927138549,-0.733337358,496,32,100.2,0,21.75,0,0.924,21.79045924
13.114,3.681731713,0,20.79673454,21.67421222,9.940085341,-0.880775901,496,32,100.2,0,21.75,0,0.924,21.79045924
13.214,3.681851316,0,20.80664373,21.6841108,9.953032132,-0.761231137,496,32,100.2,0,21.75,0,0.924,21.78257106
13.314,3.681731713,0,20.80664373,21.67421222,9.91095506,-0.789124915,496,32,100.2,0,21.75,0,0.924,21.79045924
13.414,3.681731713,0,20.81655285,21.66431355,9.933611945,-0.836942821,496,32,100.2,0,21.75,0,0.924,21.78257106
13.514,3.681691846,0,20.80664373,21.64451597,9.907718362,-0.813033868,496,32,100.2,0,21.75,0,0.924,21.79834729
13.614,3.681771581,0,20.84627968,21.69400929,9.943322039,-0.753261486,496,32,100.2,0,21.75,0,0.924,21.77073854
13.714,3.681771581,0,20.78682526,21.69400929,9.891534873,-0.876791076,496,32,100.2,0,21.75,0,0.924,21.77862692
13.814,3.681771581,0,20.80664373,21.67421222,9.940085341,-0.844912472,496,32,100.2,0,21.75,0,0.924,21.78257106
13.914,3.681731713,0,20.81655285,21.64451597,9.936848643,-0.848897297,496,32,100.2,0,21.75,0,0.924,21.79440328
14.014,3.681731713,0,20.82646187,21.67421222,9.923901851,-0.944533109,496,32,100.2,0,21.75,0,0.924,21.77468275
14.114,3.681771581,0,20.80664373,21.64451597,9.940085341,-0.821003519,496,32,100.2,0,21.75,0,0.924,21.78257106
14.214,3.681771581,0,20.80664373,21.66431355,9.923901851,-0.82897317,496,32,100.2,0,21.75,0,0.924,21.77862692
14.314,3.681691846,0,20.82646187,21.6841108,9.940085341,-0.888745552,496,32,100.2,0,21.75,0,0.924,21.78257106
