# ESC Time [s],Cell Temperature [K]
0,297.2909077
0.1,297.2711422
0.2,297.3007904
0.3,297.2711422
0.4,297.4292567
0.5,297.4589006
0.6,297.5280667
0.7,297.6268678
0.8,297.7355387
0.9,297.8639539
1,297.9824777
1.1,298.1404892
1.2,298.2688567
1.3,298.4070816
1.4,298.5650313
1.5,298.7130881
1.6,298.8808614
1.7,299.0387418
1.8,299.2064643
1.9,299.3840243
2,299.5615549
2.1,299.7489164
2.2,299.9165278
2.3,300.0841129
2.4,300.2910935
2.5,300.4586197
2.6,300.6458238
2.7,300.8625451
2.8,301.0595262
2.9,301.2170847
3,301.4336894
3.1,301.6600925
3.2,301.8372437
3.3,302.0438826
3.4,302.2308068
3.5,302.4865442
3.6,302.6635569
3.7,302.8602029
3.8,303.0961297
3.9,303.2730402
4,303.4990493
4.1,303.7348333
4.2,303.9411011
4.3,304.1276895
4.4,304.3829677
4.5,304.5792935
4.6,304.8050231
4.7,305.0110819
4.8,305.2367194
4.9,305.4525014
5,305.6486288
5.1,305.8741304
5.2,306.1191865
5.3,306.3151906
5.4,306.5307534
5.5,306.7658631
5.6,306.9813347
5.7,307.206554
5.8,307.3925689
5.9,307.6470633
6,307.8330017
6.1,308.0873916
6.2,308.2928164
6.3,308.4786432
6.4,308.6937712
6.5,308.9186319
6.6,309.1141251
6.7,309.3291269
6.8,309.5440863
6.9,309.7785391
7,309.964112
7.1,310.1691822
7.2,310.3839767
7.3,310.6084897
7.4,310.81344
7.5,311.0183524
7.6,311.2037167
7.7,311.437817
7.8,311.6523658
7.9,311.8571241
8,312.0423494
8.1,312.2665287
8.2,312.4614311
8.3,312.6563
8.4,312.8608764
8.5,313.0848942
8.6,313.2699192
8.7,313.4841216
8.8,313.6788164
8.9,313.8734785
9,314.0681079
9.1,314.2529756
9.2,314.4378142
9.3,314.6518014
9.4,314.8657497
9.5,315.0213241
9.6,315.2254846
9.7,315.42961
9.8,315.6045469
9.9,315.7988914
10,316.0029193
10.1,316.1874864
10.2,316.3914489
10.3,316.5856673
10.4,316.7798549
10.5,316.9643047
10.6,317.1681382
10.7,317.3234175
10.8,317.5271923
10.9,317.70183
11,317.9152431
11.1,318.0801286
11.2,318.2837811
11.3,318.4874011
11.4,318.6812948
11.5,318.8557743
11.6,319.0399216
11.7,319.2240428
11.8,319.4178266
11.9,319.6115819
12,319.7956231
12.1,319.9796388
12.2,320.1733122
12.3,320.3572761
12.4,320.5605754
12.5,320.7154497
12.6,320.9186956
12.7,321.1122351
12.8,321.2863975
12.9,321.4702119
13,321.6540021
13.1,321.8571107
13.2,322.0505204
13.3,322.2245666
13.4,322.3985916
13.5,322.5822619
13.6,322.765909
13.7,322.9591966
13.8,323.1427963
13.9,323.3360345
14,323.5195875
14.1,323.703118
14.2,323.8866261
14.3,324.0411421
14.4,324.253576
14.5,324.4466722
14.6,324.6300914
14.7,324.794185
14.8,325.0065159
14.9,325.1898697
15,325.3732024
15.1,325.5468667
15.2,325.7205123
15.3,325.9037849
15.4,326.1063255
15.5,326.2509821
15.6,326.4631225
15.7,326.6559542
15.8,326.8198438
15.9,327.022274
16,327.1957666
16.1,327.3692419
16.2,327.571608
16.3,327.7257761
16.4,327.9377354
16.5,328.111138
16.6,328.284524
16.7,328.4964179
16.8,328.6505072
16.9,328.8238425
17,329.0260466
17.1,329.1993473
17.2,329.3726322
17.3,329.5747783
17.4,329.7672788
17.5,329.9116418
17.6,330.0944865
17.7,330.2965586
17.8,330.4889895
17.9,330.6621618
18,330.8160805
18.1,330.9988442
18.2,331.181592
18.3,331.3643241
18.4,331.5470406
18.5,331.758588
18.6,331.9124278
18.7,332.0854848
18.8,332.2585285
18.9,332.4700085
19,332.643023
19.1,332.777581
19.2,332.9986237
19.3,333.1715993
19.4,333.3349538
19.5,333.5559453
19.6,333.7192741
19.7,333.9306249
19.8,334.1035352
19.9,334.2572234
20,334.4493209
20.1,334.6221966
20.2,334.8142675
20.3,334.9871197
20.4,335.1599609
20.5,335.3423928
20.6,335.5440142
20.7,335.697621
20.8,335.8800184
20.9,336.0624045
21,336.2447794
21.1,336.4271433
21.2,336.6190937
