# ESC Time (s),Voltage (V)
0,1.56482623
0.1,1.543098838
0.2,1.521092382
0.3,1.515829969
0.4,1.508853285
0.5,1.502713804
0.6,1.496095921
0.7,1.490953109
0.8,1.48860097
0.9,1.484933229
1,1.479710684
1.1,1.473371869
1.2,1.469743995
1.3,1.465597852
1.4,1.461013176
1.5,1.456388632
1.6,1.451524889
1.7,1.442913671
1.8,1.442794071
1.9,1.437611394
2,1.450249153
2.1,1.441199401
2.2,1.433544985
2.3,1.427564973
2.4,1.408947204
2.5,1.406754534
2.6,1.401452257
2.7,1.395870914
2.8,1.388336101
2.9,1.381120221
3,1.369399402
3.1,1.361784856
3.2,1.35417031
3.3,1.345678697
3.4,1.336190416
3.5,1.33894122
3.6,1.324908133
3.7,1.333359879
3.8,1.317572656
3.9,1.299592765
4,1.282689278
4.1,1.262755921
4.2,1.242025232
4.3,1.220018811
4.4,1.199168526
4.5,1.183062381
4.6,1.16751437
4.7,1.15268396
4.8,1.138252218
4.9,1.122185944
5,1.104843936
5.1,1.086584996
5.2,1.074624993
5.3,1.089694597
5.4,1.083993662
5.5,1.068166591
5.6,1.053096988
5.7,1.037708452
5.8,1.021522584
5.9,1.006452983
6,0.993177384
6.1,0.980818718
6.2,0.96790192
6.3,0.955463522
6.4,0.946254324
6.5,0.937762726
6.6,0.929629928
6.7,0.921058597
6.8,0.9126866
6.9,0.905789669
7,0.899490738
7.1,0.892474208
7.2,0.884779944
7.3,0.877603947
7.4,0.871225284
7.5,0.865524353
7.6,0.860421423
7.7,0.855159025
7.8,0.850414895
7.9,0.845870097
8,0.8407273
8.1,0.835783836
8.2,0.831757306
8.3,0.827571308
8.4,0.823744111
8.5,0.821391979
8.6,0.818601314
8.7,0.815850516
8.8,0.813418651
8.9,0.811744252
9,0.808754254
9.1,0.806561589
9.2,0.804089857
9.3,0.802654658
9.4,0.801059993
9.5,0.799026794
9.6,0.797312529
9.7,0.79575773
9.8,0.794322531
9.9,0.793325865
10,0.791731199
10.1,0.7905352
10.2,0.789259468
10.3,0.788502002
10.4,0.787306003
10.5,0.78686747
10.6,0.785830937
10.7,0.784555205
10.8,0.783757872
10.9,0.782880806
11,0.782282806
11.1,0.78152534
11.2,0.780728008
11.3,0.779890808
11.4,0.779213076
11.5,0.778495476
11.6,0.77809681
11.7,0.777419077
11.8,0.776621744
11.9,0.777100144
12,0.775744678
12.1,0.775146679
12.2,0.774708146
12.3,0.774389213
12.4,0.774468946
12.5,0.774189879
12.6,0.773631747
12.7,0.773631747
12.8,0.77287428
12.9,0.772595214
13,0.772356014
13.1,0.772435748
13.2,0.772276281
13.3,0.772236414
13.4,0.772037081
13.5,0.771957348
13.6,0.772515481
13.7,0.772196548
13.8,0.771917481
13.9,0.772914147
14,0.772316148
14.1,0.771758015
14.2,0.771558682
14.3,0.771718148
14.4,0.771877615
14.5,0.772037081
14.6,0.772395881
14.7,0.772754681
14.8,0.773272947
14.9,0.77347228
15,0.773791213
15.1,0.774668279
15.2,0.774787879
15.3,0.774787879
15.4,0.774628412
15.5,0.774827746
15.6,0.774429079
15.7,0.774907479
15.8,0.775106812
15.9,0.775266279
16,0.775744678
16.1,0.776262944
16.2,0.776860944
16.3,0.777339344
16.4,0.77809681
16.5,0.778894142
16.6,0.779771208
16.7,0.780528674
16.8,0.781605074
16.9,0.78248214
17,0.783399072
17.1,0.784156538
17.2,0.784754538
17.3,0.785631604
17.4,0.786588403
17.5,0.787186403
17.6,0.787824269
17.7,0.788541868
17.8,0.789498668
17.9,0.790056801
18,0.7910136
18.1,0.791611599
18.2,0.792528532
18.3,0.793565065
18.4,0.794402264
18.5,0.79539893
18.6,0.796196263
18.7,0.797153062
18.8,0.797950395
18.9,0.799066661
19,0.799744394
19.1,0.800461993
19.2,0.801299192
19.3,0.801817459
19.4,0.802614791
19.5,0.803053324
19.6,0.803451991
19.7,0.804010124
19.8,0.804249324
19.9,0.804727723
20,0.80464799
20.1,0.804568257
20.2,0.804727723
20.3,0.804687857
20.4,0.804687857
20.5,0.80464799
20.6,0.804488523
20.7,0.804329057
20.8,0.803810791
20.9,0.803292524
21,0.802814125
21.1,0.802096525
21.2,0.801020126
21.3,0.800103193
21.4,0.799066661
21.5,0.797751062
21.6,0.796435463
21.7,0.79492053
21.8,0.793525198
21.9,0.791890666
22,0.790495334
22.1,0.789020268
22.2,0.787585069
22.3,0.78626947
22.4,0.785711337
22.5,0.784794405
22.6,0.783319339
22.7,0.782083473
22.8,0.779930675
22.9,0.77737921
23,0.774748012
23.1,0.772236414
23.2,0.769047084
23.3,0.766176686
23.4,0.762788022
23.5,0.759279758
23.6,0.756130294
23.7,0.752183498
23.8,0.748356301
23.9,0.744529104
24,0.740941107
24.1,0.735997645
24.2,0.731452849
24.3,0.726908053
24.4,0.722044325
24.5,0.717379929
24.6,0.712396601
24.7,0.707174072
24.8,0.701712344
24.9,0.69633035
25,0.690868622
25.1,0.685008228
25.2,0.679227568
25.3,0.673167841
25.4,0.667187847
25.5,0.66148692
25.6,0.65522786
25.7,0.6495668
25.8,0.643507074
25.9,0.637248014
26,0.630949088
26.1,0.625048829
26.2,0.619108702
26.3,0.614444308
26.4,0.607068984
26.5,0.601088991
26.6,0.595348198
26.7,0.589368206
26.8,0.58354768
26.9,0.57848462
27,0.572305295
27.1,0.566883435
27.2,0.561341976
27.3,0.556079583
27.4,0.550737457
27.5,0.545833863
27.6,0.540890404
27.7,0.53610641
27.8,0.53164135
27.9,0.528093221
28,0.522631496
28.1,0.518046836
28.2,0.514179775
28.3,0.510272847
28.4,0.506605119
28.5,0.503017124
28.6,0.499628462
28.7,0.496518867
28.8,0.494007271
28.9,0.491136875
29,0.488425945
29.1,0.485754883
29.2,0.483402753
29.3,0.481409423
29.4,0.479416092
29.5,0.477622095
29.6,0.475987564
29.7,0.474990899
29.8,0.473037435
29.9,0.471602237
30,0.470765039
30.1,0.46968864
30.2,0.469529174
30.3,0.468213576
30.4,0.467416244
30.5,0.467057444
30.6,0.466977711
30.7,0.466818245
30.8,0.466658778
30.9,0.466738511
31,0.466738511
31.1,0.467495977
31.2,0.467495977
31.3,0.467854776
31.4,0.468213576
31.5,0.468811575
31.6,0.469768373
31.7,0.470246773
31.8,0.470844772
31.9,0.471602237
32,0.472519169
32.1,0.473356368
32.2,0.4743929
32.3,0.475349698
32.4,0.476705163
32.5,0.477701828
32.6,0.478698493
32.7,0.479854625
32.8,0.48097089
32.9,0.482007422
33,0.483043953
33.1,0.484279818
33.2,0.485276483
33.3,0.486592082
33.4,0.487628613
33.5,0.488944211
33.6,0.490180076
33.7,0.491615274
33.8,0.492771406
33.9,0.494087004
34,0.495402602
34.1,0.496518867
