Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrolyte properties,,,
Typical electrolyte concentration [mol.m-3],1000,Peyman MPM,from MPM code
Initial concentration in electrolyte [mol.m-3],1000,Peyman MPM,from MPM code
Cation transference number,0.38,Peyman MPM,
1 + dlnf/dlnc,1,,
Typical electrolyte diffusivity [m2.s-1],5.35E-10,Peyman MPM,
Electrolyte diffusivity [m2.s-1],[function]electrolyte_diffusivity_PeymanMPM,,
Typical electrolyte conductivity [m2.s-1],1.3,Peyman MPM, 
Electrolyte conductivity [S.m-1],[function]electrolyte_conductivity_PeymanMPM,, 
Electrolyte saturation pressure [kPa],[function]P_sat_Tran2023,,
Molar mass of electrolyte [kg.mol-1], 0.099295, EC:EMC 3:7 88.06*.3+104.11*0.7,
Density of electrolyte [kg.m-3], 1100,from Cell Press electrolyte costs supplemental material,
Initial amount of electrolyte [kg], 0.020, Assume 4g electrolyte for every Ah
