Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Negative electrode conductivity [S.m-1],100,Scott Moura FastDFN,no info from Peyman MPM
Maximum concentration in negative electrode [mol.m-3],28746,Peyman MPM,
Negative electrode diffusion coefficient [m2.s-1],5.0E-15,Peyman MPM,
Negative electrode diffusivity [m2.s-1],[function]graphite_diffusivity_Siegel,Peyman MPM,
#Negative electrode OCP [V],[data]graphite_ocp_Siegel,Siegel 2022, Measured
Negative electrode OCP [V],[function]graphite_ocp_Siegel,Siegel 2022, Measured
,,,
# Microstructure,,,
Negative electrode porosity,0.2,Siegel2022,
Negative electrode active material volume fraction,0.7545,Siegel2022,rest is binder
Negative particle radius [m],13.5E-06,Siegel2022,
Negative electrode Bruggeman coefficient (electrode),1.5,Peyman MPM,
Negative electrode Bruggeman coefficient (electrolyte),1.5,Peyman MPM,
Negative electrode transport efficiency, 0.16,
,,,
# Interfacial reactions,,,
Negative electrode cation signed stoichiometry,-1,,no info from Peyman MPM
Negative electrode electrons in reaction,1,,no info from Peyman MPM
Negative electrode reference exchange-current density [A.m-2(m3.mol)1.5],1.061E-6,Peyman MPM,convert unit
Negative electrode charge transfer coefficient,0.5,Peyman MPM,
Negative electrode double-layer capacity [F.m-2],0.2,,no info from Peyman MPM
Negative electrode exchange-current density [A.m-2],[function]graphite_electrolyte_exchange_current_density_Siegel,Peyman MPM,
,,,
# Density,,,
Negative electrode density [kg.m-3],3100,Peyman MPM, cell lumped value
,,,
# Thermal parameters,,,
Negative electrode specific heat capacity [J.kg-1.K-1],1100,Peyman MPM,cell lumped value
Negative electrode thermal conductivity [W.m-1.K-1],1.7,,no info from Peyman MPM
Negative electrode OCP entropic change [V.K-1],[function]graphite_entropic_change_Siegel,Peyman MPM,
,,,
# Anode decomposition,,,
Frequency factor for anode decomposition [s-1],2.5E13, Cai 2019,
Activation energy for anode decomposition [J],2.24E-19, Cai 2019,
Enthalpy of anode decomposition [J.kg-1],1714000, Cai 2019,
,,,
# SEI decomposition,,,
Frequency factor for SEI decomposition [s-1],1.67E15, Coman 2017 (2.25E15 in Cai 2019 is wrong),
Activation energy for SEI decomposition [J],2.24E-19, Cai 2019,
Enthalpy of SEI decomposition [J.kg-1],257000, Cai 2019,
Initial fraction of Li in SEI, 0.15, Cai 2019,
Initial SEI thickness, 0.033, Cai 2019,
Mass of the negative electrode active material [kg], 0.019107, Cai 2019,
Molar mass of negative electrode active material [kg.mol-1], 0.072, For C6,
