# OCP for NMC from Siegel 2022 average of Pulsed current
# sto,ocp [V]
# extra point to avoid extrapolation
0.18,4.6
# experimentally measured data
0.29,4.339634768
0.2925,4.332579778
0.295,4.325747559
0.2975,4.319139884
0.3,4.312726
0.3025,4.306617348
0.305,4.300537233
0.3075,4.294580752
0.31,4.28887707
0.3125,4.283242118
0.315,4.277761396
0.3175,4.27236203
0.32,4.267056938
0.3225,4.26191335
0.325,4.256702088
0.3275,4.251584564
0.33,4.246562769
0.3325,4.241524197
0.335,4.236719807
0.3375,4.231846423
0.34,4.226904725
0.3425,4.222004617
0.345,4.217154461
0.3475,4.212300158
0.35,4.207433589
0.3525,4.202643377
0.355,4.197831362
0.3575,4.19299063
0.36,4.188317008
0.3625,4.18351176
0.365,4.178674019
0.3675,4.173905976
0.37,4.169328223
0.3725,4.164719418
0.375,4.159980813
0.3775,4.155278076
0.38,4.150642259
0.3825,4.145976475
0.385,4.141451726
0.3875,4.136914147
0.39,4.132416927
0.3925,4.127731233
0.395,4.123372427
0.3975,4.118898171
0.4,4.114332872
0.4025,4.110017615
0.405,4.105648733
0.4075,4.10122236
0.41,4.096874573
0.4125,4.092528449
0.415,4.0882098
0.4175,4.084029047
0.42,4.079626454
0.4225,4.075464075
0.425,4.071345501
0.4275,4.06734416
0.43,4.063099076
0.4325,4.058974797
0.435,4.054898605
0.4375,4.050841454
0.44,4.046865398
0.4425,4.042883875
0.445,4.038675843
0.4475,4.034758342
0.45,4.030800273
0.4525,4.026938311
0.455,4.023052564
0.4575,4.01899194
0.46,4.015141943
0.4625,4.011216898
0.465,4.007389518
0.4675,4.003439974
0.47,3.999702362
0.4725,3.9956532
0.475,3.992028764
0.4775,3.988229155
0.48,3.984385875
0.4825,3.98060586
0.485,3.976829337
0.4875,3.973046331
0.49,3.969190807
0.4925,3.96541727
0.495,3.961699654
0.4975,3.958094825
0.5,3.95425822
0.5025,3.950461605
0.505,3.946839668
0.5075,3.943101495
0.51,3.939404894
0.5125,3.935781544
0.515,3.932051502
0.5175,3.928526003
0.52,3.924984089
0.5225,3.921229854
0.525,3.917651163
0.5275,3.914033974
0.53,3.910552747
0.5325,3.907036244
0.535,3.903545567
0.5375,3.900132998
0.54,3.896782104
0.5425,3.893320853
0.545,3.88991043
0.5475,3.886414157
0.55,3.883175037
0.5525,3.879894126
0.555,3.876512283
0.5575,3.873373349
0.56,3.870159427
0.5625,3.867075343
0.565,3.863935493
0.5675,3.860863993
0.57,3.857813141
0.5725,3.854881177
